method,F,subject,within
INORig,2,id0093,59631.858327177186
INORig,2,id0094,84047.79880946563
INORig,2,id0095,46011.061625130744
INORig,2,id0096,70680.2288871073
INORig,2,id0097,63766.9119703339
INORig,2,id0098,57542.06351972554
INORig,3,id0000,56057.160939655754
INORig,3,id0001,39648.20079379922
INORig,3,id0002,40033.90835464272
INORig,3,id0003,56535.77333687139
INORig,3,id0004,49174.427878837414
INORig,3,id0005,49520.22860888557
INORig,3,id0006,48985.59734717737
INORig,3,id0007,48101.937599513745
INORig,3,id0008,42668.70685419504
INORig,3,id0009,47873.80832260909
INORig,3,id0010,39442.28529751971
INORig,3,id0011,55240.417784968566
INORig,3,id0012,64781.7863967931
INORig,3,id0013,57972.84974033656
INORig,3,id0014,62000.32160281727
INORig,3,id0015,64162.98433635797
INORig,3,id0016,42786.56632881715
INORig,3,id0017,55090.458333529976
INORig,3,id0018,40146.1464439298
INORig,3,id0019,41092.16833751862
INORig,3,id0020,64351.026259282204
INORig,3,id0021,32291.371570504085
INORig,3,id0022,74010.51902542869
INORig,3,id0023,49475.69067112411
INORig,3,id0024,74623.73861258845
INORig,3,id0025,71404.96573762728
INORig,3,id0026,53412.055661373866
INORig,3,id0027,55659.84000177758
INORig,3,id0028,66148.76011351899
INORig,3,id0029,69894.34064419448
INORig,3,id0030,55031.09645898663
INORig,3,id0031,50453.562106824385
INORig,3,id0032,59862.33517591259
INORig,3,id0033,69957.52118722956
INORig,3,id0034,65449.83513651311
INORig,3,id0035,57126.8149163984
INORig,3,id0036,40429.460139421135
INORig,3,id0037,48060.962250589946
INORig,3,id0038,38567.77362486789
INORig,3,id0039,61191.722784785496
INORig,3,id0040,38589.84970163859
INORig,3,id0041,47769.17604307275
INORig,3,id0042,63182.02316843555
INORig,3,id0043,36317.16657850256
INORig,3,id0044,51246.19804095972
INORig,3,id0045,69151.80450564831
INORig,3,id0046,50091.23290479186
INORig,3,id0047,46886.151593634284
INORig,3,id0048,37414.98452078471
INORig,3,id0049,46239.26655007291
INORig,3,id0050,62755.790275438114
INORig,3,id0051,39209.834724809574
INORig,3,id0052,50255.0035992899
INORig,3,id0053,35998.42662936211
INORig,3,id0054,52461.226371033605
INORig,3,id0055,37817.90034414919
INORig,3,id0056,46020.697787630816
INORig,3,id0057,67819.9151472589
INORig,3,id0058,47552.67234067368
INORig,3,id0059,59382.5379168912
INORig,3,id0060,44053.422959726166
INORig,3,id0061,60288.09779383955
INORig,3,id0062,43759.72327433367
INORig,3,id0063,57207.22925319509
INORig,3,id0064,40459.78555007016
INORig,3,id0065,57145.71674058898
INORig,3,id0066,53284.72289569739
INORig,3,id0067,44773.38587039509
INORig,3,id0068,51333.80873453055
INORig,3,id0069,45001.59426285892
INORig,3,id0070,49715.728801602614
INORig,3,id0071,80241.04517949253
INORig,3,id0072,45358.54730902942
INORig,3,id0073,59829.621837172344
INORig,3,id0074,54464.53060561412
INORig,3,id0075,42649.13918341373
INORig,3,id0076,45030.55506891055
INORig,3,id0077,57267.0195191844
INORig,3,id0078,47026.55936964761
INORig,3,id0079,48779.83349853312
INORig,3,id0080,48749.53687382026
INORig,3,id0081,37364.103933279526
INORig,3,id0082,38325.14512888464
INORig,3,id0083,39870.03954856506
INORig,3,id0084,48632.98350047555
INORig,3,id0085,68160.2310466033
INORig,3,id0086,54769.64904404582
INORig,3,id0087,55105.382721012305
INORig,3,id0088,52278.08882993293
INORig,3,id0089,57131.6401482352
INORig,3,id0090,64785.67220317154
INORig,3,id0091,69728.80582471305
