scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,rigid_registered_chamfer,cpd_registered_chamfer
translation,77,different_subject,id0478,original,id0478_GTready_original,id0485,noisy,id0485_GTready_noisy,0.34237438440322876,0.35052964091300964,0.0015537119470536709,0.0013571109157055616,0.005869108252227306
translation,78,different_subject,id0478,original,id0478_GTready_original,id0485,remesh,id0485_GTready_remesh,0.34237438440322876,0.44492286443710327,0.0025899712927639484,0.0021209772676229477,0.009083490818738937
translation,79,different_subject,id0478,original,id0478_GTready_original,id0485,up60k,id0485_GTready_up60k,0.34237438440322876,0.4265076220035553,0.003097361419349909,0.001352149061858654,0.009293198585510254
translation,80,different_subject,id0478,original,id0478_GTready_original,id0489,crop,id0489_GTready_crop,0.4157305955886841,0.496122807264328,0.0031848731450736523,0.002900297287851572,0.00894637405872345
translation,81,different_subject,id0478,original,id0478_GTready_original,id0489,down8k,id0489_GTready_down8k,0.4157305955886841,0.5428740978240967,0.008028959855437279,0.004028526600450277,0.003907009493559599
translation,82,different_subject,id0478,original,id0478_GTready_original,id0489,noisy,id0489_GTready_noisy,0.4157305955886841,0.49306318163871765,0.0037513189017772675,0.0032919123768806458,0.004257852677255869
translation,83,different_subject,id0478,original,id0478_GTready_original,id0489,remesh,id0489_GTready_remesh,0.4157305955886841,0.5447823405265808,0.003681325353682041,0.0039015994407236576,0.008652826771140099
translation,84,different_subject,id0478,original,id0478_GTready_original,id0489,up60k,id0489_GTready_up60k,0.4157305955886841,0.5545860528945923,0.0064035579562187195,0.010221200063824654,0.0058898841962218285
translation,85,different_subject,id0478,remesh,id0478_GTready_remesh,id0485,crop,id0485_GTready_crop,0.34237438440322876,0.4409630596637726,0.004653759300708771,0.002609035698696971,0.008876468986272812
translation,86,different_subject,id0478,remesh,id0478_GTready_remesh,id0485,down8k,id0485_GTready_down8k,0.34237438440322876,0.40599873661994934,0.004800654016435146,0.002940064761787653,0.010965138673782349
translation,87,different_subject,id0478,remesh,id0478_GTready_remesh,id0485,noisy,id0485_GTready_noisy,0.34237438440322876,0.35880181193351746,0.002055025426670909,0.0016300138086080551,0.006541500333696604
translation,88,different_subject,id0478,remesh,id0478_GTready_remesh,id0485,original,id0485_GTready_original,0.34237438440322876,0.3931903839111328,0.002186200814321637,0.003017025999724865,0.006338723935186863
translation,89,different_subject,id0478,remesh,id0478_GTready_remesh,id0485,up60k,id0485_GTready_up60k,0.34237438440322876,0.42105570435523987,0.0032055480405688286,0.0028241239488124847,0.009039073251187801
translation,90,different_subject,id0478,remesh,id0478_GTready_remesh,id0489,crop,id0489_GTready_crop,0.4157305955886841,0.5176236629486084,0.003632219508290291,0.0028517614118754864,0.010534534230828285
translation,91,different_subject,id0478,remesh,id0478_GTready_remesh,id0489,down8k,id0489_GTready_down8k,0.4157305955886841,0.5480899810791016,0.00781074957922101,0.012072229757905006,0.006895553786307573
translation,92,different_subject,id0478,remesh,id0478_GTready_remesh,id0489,noisy,id0489_GTready_noisy,0.4157305955886841,0.5066143870353699,0.004113988485187292,0.0038667279295623302,0.005174461752176285
translation,93,different_subject,id0478,remesh,id0478_GTready_remesh,id0489,original,id0489_GTready_original,0.4157305955886841,0.5150638818740845,0.0038672492373734713,0.0033021464478224516,0.004243483301252127
translation,94,different_subject,id0478,remesh,id0478_GTready_remesh,id0489,up60k,id0489_GTready_up60k,0.4157305955886841,0.5519838333129883,0.00587174016982317,0.004539951216429472,0.005700461566448212
translation,95,different_subject,id0478,up60k,id0478_GTready_up60k,id0485,crop,id0485_GTready_crop,0.34237438440322876,0.41093045473098755,0.006803249008953571,0.0057786935940384865,0.015924086794257164
translation,96,different_subject,id0478,up60k,id0478_GTready_up60k,id0485,down8k,id0485_GTready_down8k,0.34237438440322876,0.36361366510391235,0.002290590200573206,0.0017682788893580437,0.007061637006700039
translation,97,different_subject,id0478,up60k,id0478_GTready_up60k,id0485,noisy,id0485_GTready_noisy,0.34237438440322876,0.3290881812572479,0.0010621428955346346,0.0010751461377367377,0.0053244843147695065
translation,98,different_subject,id0478,up60k,id0478_GTready_up60k,id0485,original,id0485_GTready_original,0.34237438440322876,0.3619212508201599,0.0011867559514939785,0.0010792417451739311,0.00574011355638504
translation,99,different_subject,id0478,up60k,id0478_GTready_up60k,id0485,remesh,id0485_GTready_remesh,0.34237438440322876,0.3961242139339447,0.0014250524109229445,0.001381326699629426,0.020564928650856018
translation,100,different_subject,id0478,up60k,id0478_GTready_up60k,id0489,crop,id0489_GTready_crop,0.4157305955886841,0.4816935956478119,0.004955306649208069,0.004285295959562063,0.008409414440393448
translation,101,different_subject,id0478,up60k,id0478_GTready_up60k,id0489,down8k,id0489_GTready_down8k,0.4157305955886841,0.5028531551361084,0.004562067799270153,0.0029644155874848366,0.0032356365118175745
translation,102,different_subject,id0478,up60k,id0478_GTready_up60k,id0489,noisy,id0489_GTready_noisy,0.4157305955886841,0.46990466117858887,0.0020598291885107756,0.0016587073914706707,0.00322852935642004
translation,103,different_subject,id0478,up60k,id0478_GTready_up60k,id0489,original,id0489_GTready_original,0.4157305955886841,0.47741028666496277,0.0019541452638804913,0.0019021839834749699,0.0034826472401618958
translation,104,different_subject,id0478,up60k,id0478_GTready_up60k,id0489,remesh,id0489_GTready_remesh,0.4157305955886841,0.5052748322486877,0.0018705641850829124,0.0020921514369547367,0.007832426577806473
translation,105,different_subject,id0485,crop,id0485_GTready_crop,id0489,down8k,id0489_GTready_down8k,0.2601737082004547,0.4052136540412903,0.019068583846092224,0.010769627057015896,0.006468805484473705
translation,106,different_subject,id0485,crop,id0485_GTready_crop,id0489,noisy,id0489_GTready_noisy,0.2601737082004547,0.4209251403808594,0.011933259665966034,0.012360289692878723,0.022557871416211128
translation,107,different_subject,id0485,crop,id0485_GTready_crop,id0489,original,id0489_GTready_original,0.2601737082004547,0.3896810710430145,0.011984436772763729,0.007604917045682669,0.005514667369425297
translation,108,different_subject,id0485,crop,id0485_GTready_crop,id0489,remesh,id0489_GTready_remesh,0.2601737082004547,0.43233442306518555,0.010783558711409569,0.008532244712114334,0.006000696215778589
translation,109,different_subject,id0485,crop,id0485_GTready_crop,id0489,up60k,id0489_GTready_up60k,0.2601737082004547,0.42353391647338867,0.016502659767866135,0.011008203029632568,0.0050794268026947975
translation,110,different_subject,id0485,down8k,id0485_GTready_down8k,id0489,crop,id0489_GTready_crop,0.2601737082004547,0.3370665907859802,0.009993372485041618,0.011827416718006134,0.008556229993700981
translation,111,different_subject,id0485,down8k,id0485_GTready_down8k,id0489,noisy,id0489_GTready_noisy,0.2601737082004547,0.3389724791049957,0.0007893838337622583,0.0009303844999521971,0.01006326824426651
translation,112,different_subject,id0485,down8k,id0485_GTready_down8k,id0489,original,id0489_GTready_original,0.2601737082004547,0.3151954412460327,0.0009263341198675334,0.0007162005640566349,0.009977811016142368
translation,113,different_subject,id0485,down8k,id0485_GTready_down8k,id0489,remesh,id0489_GTready_remesh,0.2601737082004547,0.35387110710144043,0.0018076736014336348,0.0016973853344097733,0.008291983976960182
translation,114,different_subject,id0485,down8k,id0485_GTready_down8k,id0489,up60k,id0489_GTready_up60k,0.2601737082004547,0.33080753684043884,0.0011447862489148974,0.000994699657894671,0.0071449303068220615
translation,115,different_subject,id0485,noisy,id0485_GTready_noisy,id0489,crop,id0489_GTready_crop,0.2601737082004547,0.37117457389831543,0.004849670920521021,0.0038865148089826107,0.008680429309606552
translation,116,different_subject,id0485,noisy,id0485_GTready_noisy,id0489,down8k,id0489_GTready_down8k,0.2601737082004547,0.36442863941192627,0.0031772556249052286,0.0016988837160170078,0.008597574196755886
translation,117,different_subject,id0485,noisy,id0485_GTready_noisy,id0489,original,id0489_GTready_original,0.2601737082004547,0.3265165388584137,0.0009594792500138283,0.0009687213459983468,0.0050038727931678295
translation,118,different_subject,id0485,noisy,id0485_GTready_noisy,id0489,remesh,id0489_GTready_remesh,0.2601737082004547,0.3760443329811096,0.001442178268916905,0.0011693864362314343,0.008174000307917595
translation,119,different_subject,id0485,noisy,id0485_GTready_noisy,id0489,up60k,id0489_GTready_up60k,0.2601737082004547,0.3752705752849579,0.0023668301291763783,0.0010689557529985905,0.005690427962690592
translation,120,different_subject,id0485,original,id0485_GTready_original,id0489,crop,id0489_GTready_crop,0.2601737082004547,0.35014235973358154,0.0050698500126600266,0.00601222924888134,0.0103678023442626
translation,121,different_subject,id0485,original,id0485_GTready_original,id0489,down8k,id0489_GTready_down8k,0.2601737082004547,0.3498747944831848,0.004212088417261839,0.0021754722110927105,0.005197715014219284
translation,122,different_subject,id0485,original,id0485_GTready_original,id0489,noisy,id0489_GTready_noisy,0.2601737082004547,0.3384248614311218,0.0014723893254995346,0.0009567234665155411,0.0051514944061636925
translation,123,different_subject,id0485,original,id0485_GTready_original,id0489,remesh,id0489_GTready_remesh,0.2601737082004547,0.36728039383888245,0.0017918313387781382,0.0009154326980933547,0.008058142848312855
translation,124,different_subject,id0485,original,id0485_GTready_original,id0489,up60k,id0489_GTready_up60k,0.2601737082004547,0.36303946375846863,0.003186168149113655,0.0009687002748250961,0.0057139927521348
translation,125,different_subject,id0485,remesh,id0485_GTready_remesh,id0489,crop,id0489_GTready_crop,0.2601737082004547,0.2973962128162384,0.00632899533957243,0.004911824129521847,0.007470062002539635
translation,126,different_subject,id0485,remesh,id0485_GTready_remesh,id0489,down8k,id0489_GTready_down8k,0.2601737082004547,0.2739349901676178,0.0037653022445738316,0.0032196245156228542,0.0054670474492013454
translation,127,different_subject,id0485,remesh,id0485_GTready_remesh,id0489,noisy,id0489_GTready_noisy,0.2601737082004547,0.31080836057662964,0.0019676259253174067,0.0022179968655109406,0.003906820435076952
translation,128,different_subject,id0485,remesh,id0485_GTready_remesh,id0489,original,id0489_GTready_original,0.2601737082004547,0.27663514018058777,0.0016973682213574648,0.0018317453796043992,0.004564180970191956
translation,129,different_subject,id0485,remesh,id0485_GTready_remesh,id0489,up60k,id0489_GTready_up60k,0.2601737082004547,0.2704068422317505,0.002432730980217457,0.002165247453376651,0.006711452268064022
translation,130,different_subject,id0485,up60k,id0485_GTready_up60k,id0489,crop,id0489_GTready_crop,0.2601737082004547,0.3194562494754791,0.00816632155328989,0.006552047096192837,0.016305819153785706
translation,131,different_subject,id0485,up60k,id0485_GTready_up60k,id0489,down8k,id0489_GTready_down8k,0.2601737082004547,0.29360705614089966,0.002090174239128828,0.001444208319298923,0.008241727948188782
translation,132,different_subject,id0485,up60k,id0485_GTready_up60k,id0489,noisy,id0489_GTready_noisy,0.2601737082004547,0.32990604639053345,0.0009381396230310202,0.0010148696601390839,0.0059776511043310165
translation,133,different_subject,id0485,up60k,id0485_GTready_up60k,id0489,original,id0489_GTready_original,0.2601737082004547,0.29902756214141846,0.0008630306110717356,0.0009295326890423894,0.0055761560797691345
translation,134,different_subject,id0485,up60k,id0485_GTready_up60k,id0489,remesh,id0489_GTready_remesh,0.2601737082004547,0.3220687806606293,0.0010556878987699747,0.001905231038108468,0.007489294745028019
