scenario,noise_mode,sigma,group_type,group,metric,n,mean,std,cv,min,p05,p25,p50,p75,p95,max,iqr,range,std_vs_raw,iqr_vs_raw,range_vs_raw,median_vs_raw
rotation_sigma0.0063,rotation,0.0063,overall,all,nicp_p2tri,1350,0.0218136811,0.003059398903,0.1402513812,0.01607429243,0.0176725004,0.01977233537,0.02118139547,0.02344260407,0.02787621456,0.03385098126,0.003670268703,0.01777668883,0.1863494252,0.1971128427,0.1968886093,0.5473606939
rotation_sigma0.0158,rotation,0.0158,overall,all,latent_distance,1350,0.4446907652,0.1032404918,0.2321624371,0.2014486939,0.2776622027,0.3702934608,0.4422879815,0.514614448,0.6191748202,0.7089753151,0.1443209872,0.5075266212,6.291294569,7.948688184,5.629687899,11.36677058
rotation_sigma0.0158,rotation,0.0158,overall,all,raw_chamfer,1350,0.043780003,0.0164100553,0.3748299264,0.02180744412,0.02635886966,0.03184255005,0.0389106104,0.04999912933,0.07946586901,0.1119592661,0.01815657928,0.09015182197,1,1,1,1
rotation_sigma0.0158,rotation,0.0158,overall,all,rigid_p2p,1350,0.03117380976,0.008666668666,0.278011213,0.01917977992,0.0216645799,0.02471424002,0.02869587876,0.03578574023,0.04867529777,0.07936106696,0.0110715002,0.06018128704,0.5281315941,0.6097789697,0.6675548617,0.7374821022
rotation_sigma0.0158,rotation,0.0158,overall,all,nicp_p2p,1350,0.02371581139,0.002858345763,0.1205248986,0.01872851419,0.01978862605,0.02180646115,0.02315358331,0.02518891157,0.02930856152,0.03555446501,0.003382450415,0.01682595082,0.1741825795,0.1862933741,0.1866401638,0.595045492
rotation_sigma0.0158,rotation,0.0158,overall,all,nicp_p2tri,1350,0.02172603131,0.00303858662,0.1398592581,0.01608705959,0.01745064621,0.01966934868,0.02117488505,0.02327042506,0.02766149276,0.03391618361,0.003601076374,0.01782912401,0.1851661414,0.1983345166,0.1977677613,0.5441930834
rotation_sigma0.0398,rotation,0.0398,overall,all,latent_distance,1350,0.4462172332,0.1027134463,0.2301870898,0.1927248836,0.2791219711,0.3724347949,0.4446877837,0.5184222013,0.6189068556,0.7149902582,0.1459874064,0.5222653747,6.279549328,7.891437297,5.759317861,11.4867729
rotation_sigma0.0398,rotation,0.0398,overall,all,raw_chamfer,1350,0.04380169745,0.01635681813,0.3734288643,0.0218908452,0.02647090662,0.03195483278,0.03871302999,0.05045430263,0.07949405379,0.1125726564,0.01849946985,0.09068181116,1,1,1,1
rotation_sigma0.0398,rotation,0.0398,overall,all,rigid_p2p,1350,0.03126669477,0.008646929612,0.2765540034,0.0189109953,0.02192005085,0.02489526555,0.028805554,0.03578172146,0.04822010384,0.07947985556,0.01088645591,0.06056886027,0.5286437461,0.5884739401,0.6679273329,0.744079035
rotation_sigma0.0398,rotation,0.0398,overall,all,nicp_p2p,1350,0.02374129302,0.002817583896,0.1186786201,0.01857446738,0.01985639765,0.02185701289,0.02317854966,0.02518177322,0.02929550677,0.03486498044,0.003324760334,0.01629051305,0.172257457,0.179721925,0.1796447694,0.5987273448
